Category,Staff code,Date
Academic EXC Creative,TW,12/09/2016
Academic EXC Creative,TW,12/09/2016
Academic EXC Creative,TW,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Determined,ADD,12/09/2016
Academic EXC Determined,ADD,12/09/2016
Academic EXC Open-minded,JEA,12/09/2016
Incomplete Work,MJM,12/09/2016
Academic EXC General,ADD,12/09/2016
Academic EXC General,ADD,12/09/2016
Academic EXC General,ADD,12/09/2016
Academic EXC Determined,JHP,12/09/2016
Random Act of Kindness - Good College Spirit EXC,JEA,12/09/2016
Academic EXC Independent,ARE,12/09/2016
Academic EXC General,AMD,12/09/2016
Academic EXC Determined,JKC,12/09/2016
Academic EXC Motivated,JLP,12/09/2016
Academic EXC Motivated,JLP,12/09/2016
Academic EXC Motivated,PMM,12/09/2016
Academic EXC Motivated,ECH,12/09/2016
Academic EXC Motivated,ECH,12/09/2016
Incomplete Work,ECH,12/09/2016
Incomplete Work,ECH,12/09/2016
Infraction,JEA,12/09/2016
Academic EXC Motivated,AWD,12/09/2016
Academic EXC Motivated,AWD,12/09/2016
Academic EXC Determined,JH,12/09/2016
Academic EXC Determined,JH,12/09/2016
Academic EXC Determined,JH,12/09/2016
Academic EXC Independent,TBB,13/09/2016
Incomplete Work,DJPS,13/09/2016
Incomplete Work,DJPS,13/09/2016
Incomplete Work,DJPS,13/09/2016
Incomplete Work,DJPS,13/09/2016
Incomplete Work,DJPS,13/09/2016
Incomplete Work,DJPS,13/09/2016
Infraction,DJC,13/09/2016
Academic EXC Motivated,JLP,13/09/2016
Incomplete Work,ARE,13/09/2016
Incomplete Work,ARE,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Random Act of Kindness - Good College Spirit EXC,SP,13/09/2016
Incomplete Work,SP,13/09/2016
Incomplete Work,SP,13/09/2016
Incomplete Work,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
