Category code,Category,Staff code,Date
EXC7MO,Academic EXC Motivated,PSJ,09/09/2016
EXC7MO,Academic EXC Motivated,PSJ,09/09/2016
EXC7CR,Academic EXC Creative,SP,09/09/2016
EXC7MO,Academic EXC Motivated,SP,09/09/2016
EXC7CU,Academic EXC Curious,RMDJ,09/09/2016
EXC7CU,Academic EXC Curious,RMDJ,09/09/2016
EXC7MO,Academic EXC Motivated,AWD,09/09/2016
EXC7MO,Academic EXC Motivated,AWD,09/09/2016
EXC7MO,Academic EXC Motivated,AWD,09/09/2016
EXC7MO,Academic EXC Motivated,AWD,09/09/2016
EXC7IN,Academic EXC Independent,AWD,09/09/2016
EXC7IN,Academic EXC Independent,AWD,09/09/2016
EXC7MO,Academic EXC Motivated,AWD,09/09/2016
EXCCUR,Academic EXC General,RD,09/09/2016
EXC7DE,Academic EXC Determined,JKC,09/09/2016
EXC7DE,Academic EXC Determined,JKC,09/09/2016
EXC7DE,Academic EXC Determined,JKC,09/09/2016
EXC7DE,Academic EXC Determined,JKC,09/09/2016
EXC7DE,Academic EXC Determined,AWD,10/09/2016
EXC7DE,Academic EXC Determined,AWD,10/09/2016
INF,Infraction,CMLK,10/09/2016
INF,Infraction,CMLK,10/09/2016
INF,Infraction,CMLK,10/09/2016
INF,Infraction,CMLK,10/09/2016
INF,Infraction,CMLK,10/09/2016
EXC7CM,Co-Curricular EXC Motivated,CMLK,10/09/2016
EXC7CI,Co-Curricular EXC Independent,ADD,10/09/2016
EXC7OP,Academic EXC Open-minded,JEA,11/09/2016
INF,Infraction,PMM,11/09/2016
EXC7CD,Co-Curricular EXC Determined,DJPS,11/09/2016
EXC7MO,Academic EXC Motivated,APRD,12/09/2016
EXC7MO,Academic EXC Motivated,APRD,12/09/2016
EXC7MO,Academic EXC Motivated,APRD,12/09/2016
EXC7MO,Academic EXC Motivated,APRD,12/09/2016
EXC7IN,Academic EXC Independent,HG,12/09/2016
EXC7IN,Academic EXC Independent,HG,12/09/2016
EXC7IN,Academic EXC Independent,HG,12/09/2016
EXC7IN,Academic EXC Independent,HG,12/09/2016
EXC7IN,Academic EXC Independent,HG,12/09/2016
INF,Infraction,SGA,12/09/2016
INF,Infraction,SGA,12/09/2016
EXC7MO,Academic EXC Motivated,CEA,12/09/2016
EXC7CR,Academic EXC Creative,ERM,12/09/2016
EXC7MO,Academic EXC Motivated,ERM,12/09/2016
INCWOR,Incomplete Work,YDU,12/09/2016
EXC7DE,Academic EXC Determined,SLK,12/09/2016
EXC7DE,Academic EXC Determined,SLK,12/09/2016
INCWOR,Incomplete Work,APRD,12/09/2016
EXC7IN,Academic EXC Independent,APRD,12/09/2016
EXC7IN,Academic EXC Independent,APRD,12/09/2016
EXC7IN,Academic EXC Independent,APRD,12/09/2016
EXC7MO,Academic EXC Motivated,CMLK,12/09/2016
INF,Infraction,CMLK,12/09/2016
EXC7MO,Academic EXC Motivated,CMLK,12/09/2016
EXC7CR,Academic EXC Creative,TW,12/09/2016
EXC7CR,Academic EXC Creative,TW,12/09/2016
EXC7CR,Academic EXC Creative,TW,12/09/2016
EXC7MO,Academic EXC Motivated,LJA,12/09/2016
EXC7MO,Academic EXC Motivated,LJA,12/09/2016
EXC7MO,Academic EXC Motivated,LJA,12/09/2016
